neighborhood,zipcode,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15
4774,Northgate,98103,4083302485,20150420T000000,913000,3,1.75,2170,4000,1.0,0,0,4,7,1110,1060,1925,0,47.6546,-122.337,1890,4000
4354,Ballard,98117,546000910,20141203T000000,620000,3,1.75,2040,4005,1.5,0,0,4,8,1740,300,1930,0,47.6885,-122.38,1380,4005
6416,Lake City,98125,5667100045,20140902T000000,453500,3,1.75,1550,7270,1.5,0,0,5,7,1550,0,1953,0,47.72,-122.31700000000001,1050,7210
6311,Lake City,98125,8820900299,20150204T000000,419950,3,3.0,2150,3962,1.5,0,0,3,7,1540,610,1949,0,47.7183,-122.285,1730,4609
4358,Ballard,98117,2856100360,20150409T000000,465000,3,1.0,800,3060,1.5,0,0,4,6,800,0,1903,0,47.6769,-122.389,1180,3060
3949,Ballard,98107,2767704252,20141103T000000,478000,3,3.25,1430,1348,2.0,0,0,3,8,1160,270,2008,0,47.6743,-122.374,1160,1265
219,Queen Anne,98119,5113400431,20140508T000000,615000,2,1.0,1540,6872,1.0,0,0,4,7,820,720,1946,0,47.6454,-122.37299999999999,1420,5538
6843,Delridge,98106,2848700095,20150402T000000,412000,4,1.5,1960,5000,1.0,0,0,3,7,980,980,1912,0,47.5688,-122.363,1300,5000
5311,Northgate,98133,2231800020,20141120T000000,366000,4,2.75,2020,8093,1.0,0,0,5,7,1300,720,1961,0,47.7685,-122.33200000000001,1920,8089
5747,Lake City,98115,6127600110,20140502T000000,640000,4,2.0,1520,6200,1.5,0,0,3,7,1520,0,1945,0,47.678000000000004,-122.26899999999999,1910,6200
2868,Rainier Valley,98178,393000045,20141226T000000,415000,5,1.75,3700,9140,1.0,0,0,3,8,1850,1850,1957,0,47.5086,-122.258,2190,6720
6650,Delridge,98106,2113701200,20140912T000000,250000,2,1.0,670,4640,1.0,0,0,3,6,670,0,1943,0,47.53,-122.351,870,4501
2661,Seward Park,98118,3331000455,20150217T000000,230000,3,1.0,1000,4000,1.5,0,0,4,6,1000,0,1915,0,47.5523,-122.286,1040,4240
6099,Lake City,98115,7173700591,20140811T000000,735000,3,2.25,2350,6000,1.0,0,0,5,7,1020,1330,1948,0,47.6809,-122.305,1570,5000
2300,Beacon Hill,98108,886000090,20150302T000000,395000,2,1.0,700,7457,1.0,0,0,3,6,700,0,1943,0,47.5348,-122.295,1500,7130
6003,Lake City,98115,3226049401,20141103T000000,447500,3,1.75,1950,6504,1.0,0,0,3,8,1530,420,1953,0,47.6934,-122.32799999999999,1660,6552
5880,Lake City,98115,5100403405,20150107T000000,790000,3,1.0,1290,6380,1.5,0,0,3,7,1290,0,1930,0,47.6951,-122.319,1630,6380
186,Cascade,98109,811000050,20141231T000000,826000,3,1.5,1890,5000,1.5,0,0,3,9,1890,0,1929,0,47.6312,-122.353,2560,5000
2860,Rainier Valley,98178,2976800550,20150414T000000,280005,3,1.5,1130,7200,1.0,0,0,3,7,1130,0,1954,0,47.5041,-122.25299999999999,1130,7200
2842,Rainier Valley,98178,9368700223,20150202T000000,310000,4,3.0,2010,7426,1.0,0,0,5,7,1090,920,1951,0,47.5042,-122.265,1470,7426
995,West Seattle,98116,139000185,20150428T000000,800000,3,2.5,2100,4440,2.0,0,4,3,7,2100,0,1945,0,47.5865,-122.397,2100,6000
874,Capitol Hill,98112,1337300145,20140721T000000,1800000,4,2.5,3320,8325,2.5,0,0,5,10,3320,0,1905,0,47.6263,-122.314,3680,6050
6126,Lake City,98115,2887700970,20150209T000000,637000,4,2.75,2190,2867,1.5,0,0,5,7,1470,720,1929,0,47.6868,-122.30799999999999,1600,3800
7004,Magnolia,98199,6821100195,20150331T000000,830000,4,3.0,2020,6000,1.0,0,0,3,8,1220,800,1968,2015,47.6563,-122.40100000000001,1400,6000
3196,Central Area,98122,1934800087,20140626T000000,446000,2,1.5,1370,1221,2.0,0,0,3,8,1080,290,2008,0,47.6039,-122.307,1560,2081
2011,West Seattle,98146,723049448,20140722T000000,279500,3,1.5,1200,8040,1.0,0,0,4,7,1200,0,1959,0,47.4901,-122.34100000000001,1450,9315
1791,West Seattle,98136,2461900850,20150105T000000,570000,4,1.0,1490,6000,1.5,0,0,3,7,1490,0,1918,0,47.5518,-122.385,1700,6000
1686,West Seattle,98136,2461900790,20150313T000000,560000,4,1.75,2120,6250,1.0,0,0,5,7,1060,1060,1917,0,47.5506,-122.385,1410,6250
3695,Central Area,98144,1523300140,20140904T000000,325000,1,1.0,730,1942,1.0,0,0,3,7,730,0,2009,0,47.5943,-122.29899999999999,1020,2044
3871,Ballard,98107,2767603591,20140804T000000,475000,3,2.5,1320,1310,3.0,0,0,3,8,1320,0,2006,0,47.6719,-122.38,1350,1250
5773,Lake City,98115,439000090,20150323T000000,564500,4,2.25,1950,6000,1.0,0,0,3,7,1350,600,1961,0,47.6909,-122.301,1980,6000
368,Queen Anne,98119,2652500740,20140618T000000,855000,4,2.25,2190,4080,2.0,0,0,3,8,1800,390,1918,0,47.6425,-122.35799999999999,2100,4080
5433,Northgate,98133,7283900521,20150420T000000,352500,3,1.75,1500,10269,1.0,0,0,3,7,1030,470,1958,0,47.7672,-122.348,2090,10269
3689,Central Area,98144,9834201370,20150417T000000,430100,3,2.25,1400,1078,2.0,0,0,3,8,940,460,2009,0,47.5701,-122.288,1420,1230
3298,Central Area,98122,7151700585,20141125T000000,1225000,5,2.25,3440,5000,2.0,0,2,5,9,3440,0,1901,0,47.6127,-122.286,2822,5000
2768,Seward Park,98118,7950302345,20140815T000000,345000,3,1.0,1010,3060,1.5,0,0,3,6,1010,0,1904,0,47.5657,-122.285,1330,4590
691,Capitol Hill,98112,6788201015,20140616T000000,690000,2,1.75,1600,4000,1.0,0,0,5,7,850,750,1918,0,47.6408,-122.3,1860,4000
3005,Rainier Valley,98178,2976800360,20150223T000000,335750,3,3.0,2400,7260,1.0,0,0,3,7,1440,960,1955,0,47.5045,-122.251,1060,7200
234,Queen Anne,98119,2652500300,20140603T000000,1100000,4,3.75,2930,3200,1.5,0,0,5,9,2130,800,1925,0,47.643,-122.359,1900,4320
2828,Rainier Valley,98178,2976800796,20140925T000000,236000,3,1.0,1300,5898,1.0,0,0,3,7,1300,0,1961,0,47.5053,-122.255,1320,7619
5776,Lake City,98115,5210200077,20140619T000000,799000,4,2.5,2590,7910,2.0,0,0,3,9,2590,0,2001,0,47.6978,-122.28399999999999,1700,7488
4084,Ballard,98117,3693900245,20140707T000000,445000,2,2.0,1240,2500,2.0,0,0,3,7,1240,0,1985,0,47.6793,-122.395,1660,5000
7228,Magnolia,98199,1525039057,20140702T000000,520000,3,1.75,1490,1036,2.0,0,0,3,10,1090,400,2008,0,47.6588,-122.40299999999999,1460,1206
1987,West Seattle,98146,6303400520,20150127T000000,265000,2,2.0,1650,8975,1.0,0,0,5,6,1650,0,1942,0,47.5073,-122.36,1260,8668
2675,Seward Park,98118,3524049042,20140527T000000,375000,3,1.5,2000,7294,1.0,0,0,3,7,1520,480,1965,0,47.5297,-122.26700000000001,2000,6000
3812,Ballard,98107,476000331,20141202T000000,505500,3,2.5,1300,1187,3.0,0,0,3,8,1300,0,2005,0,47.6704,-122.391,1320,1194
4942,Northgate,98103,2508000020,20140819T000000,250000,2,1.0,750,6350,1.0,0,0,3,5,750,0,1920,0,47.6938,-122.35600000000001,920,6350
6014,Lake City,98115,4074300150,20150417T000000,460000,4,1.75,1560,7200,1.0,0,0,3,6,860,700,1943,0,47.7001,-122.279,1420,7200
2610,Seward Park,98118,1705400350,20150127T000000,350000,3,1.0,1050,5518,1.0,0,0,3,7,1050,0,1948,0,47.5564,-122.27799999999999,1490,4269
6435,Lake City,98125,2044500152,20141117T000000,455000,4,1.75,1920,6000,1.0,0,0,4,7,960,960,1954,0,47.7137,-122.315,1850,7200
4197,Ballard,98117,1646502165,20140813T000000,480000,2,1.75,1170,4635,1.0,0,0,4,6,690,480,1924,0,47.6842,-122.359,1240,4120
6342,Lake City,98125,8901000911,20150219T000000,425000,3,1.75,2120,5992,1.0,0,0,3,7,1060,1060,1947,0,47.7083,-122.30799999999999,1840,11000
767,Capitol Hill,98112,9209900335,20140509T000000,463000,2,1.0,1150,4400,1.0,0,0,4,7,1150,0,1905,0,47.6226,-122.292,1240,4400
5768,Lake City,98115,9528101032,20150325T000000,600000,3,3.0,1520,1800,3.0,0,0,3,7,1520,0,2003,0,47.6822,-122.32600000000001,1520,1500
1162,West Seattle,98116,142000175,20140822T000000,625000,3,1.75,2240,6050,1.0,0,0,4,8,1250,990,1950,0,47.5658,-122.4,1720,6050
6441,Lake City,98125,3992700070,20141124T000000,450000,3,1.0,2020,8100,1.0,0,0,3,7,1170,850,1956,0,47.7136,-122.288,1480,7620
3489,Central Area,98144,1250200600,20150408T000000,390000,3,1.0,1240,3600,1.5,0,0,3,7,1240,0,1902,0,47.5986,-122.29799999999999,1680,3600
74,Downtown,98102,2663000345,20150408T000000,1200000,4,2.5,2390,4200,2.0,0,0,3,9,2150,240,1924,0,47.6272,-122.318,2800,5250
1117,West Seattle,98116,3902100205,20150417T000000,515000,3,1.75,1190,4500,1.0,0,0,3,6,1190,0,1922,2012,47.5576,-122.38799999999999,1820,4500
